wave_id,step,truth_definition,respondent,n_perceived_groups,n_actual_groups,nmi,ari,n_agents_placed,n_expected,n_fail_safe
t600,600,observed_interaction_louvain_communities,Abigail Chen,3,11,0.462344,-0.026667,15,15,0
t600,600,observed_interaction_louvain_communities,Arthur Burton,3,11,0.401987,-0.042553,15,15,0
t600,600,observed_interaction_louvain_communities,Ayesha Khan,2,11,0.346402,0.013913,15,15,0
t600,600,observed_interaction_louvain_communities,Carlos Gomez,3,11,0.412038,-0.039604,15,15,0
t600,600,observed_interaction_louvain_communities,Francisco Lopez,3,11,0.585933,0.152738,15,15,0
t600,600,observed_interaction_louvain_communities,Giorgio Rossi,2,11,0.402243,0.069620,15,15,0
t600,600,observed_interaction_louvain_communities,Hailey Johnson,3,11,0.585933,0.152738,15,15,0
t600,600,observed_interaction_louvain_communities,Isabella Rodriguez,3,11,0.458451,0.007092,15,15,0
t600,600,observed_interaction_louvain_communities,Klaus Mueller,3,11,0.468146,0.012376,15,15,0
t600,600,observed_interaction_louvain_communities,Latoya Williams,3,11,0.415964,-0.002169,15,15,0
t600,600,observed_interaction_louvain_communities,Maria Lopez,3,11,0.456253,-0.028818,15,15,0
t600,600,observed_interaction_louvain_communities,Mei Lin,3,11,0.462344,-0.026667,15,15,0
t600,600,observed_interaction_louvain_communities,Rajiv Patel,3,11,0.537182,0.097778,15,15,0
t600,600,observed_interaction_louvain_communities,Ryan Park,3,11,0.458451,0.007092,15,15,0
t600,600,observed_interaction_louvain_communities,Wolfgang Schulz,3,11,0.412038,-0.039604,15,15,0
t600,600,observed_interaction_louvain_communities,__overall__,2.866667,11,0.457714,0.020484,15.000000,15,0
t1800,1800,observed_interaction_louvain_communities,Abigail Chen,2,4,0.571975,0.478764,15,15,0
t1800,1800,observed_interaction_louvain_communities,Arthur Burton,3,4,0.426214,0.193548,15,15,0
t1800,1800,observed_interaction_louvain_communities,Ayesha Khan,3,4,0.664450,0.608295,15,15,0
t1800,1800,observed_interaction_louvain_communities,Carlos Gomez,4,4,0.282624,-0.006885,15,15,0
t1800,1800,observed_interaction_louvain_communities,Francisco Lopez,2,4,0.680160,0.496894,15,15,0
t1800,1800,observed_interaction_louvain_communities,Giorgio Rossi,3,4,0.372644,0.095238,15,15,0
t1800,1800,observed_interaction_louvain_communities,Hailey Johnson,3,4,0.715917,0.552590,15,15,0
t1800,1800,observed_interaction_louvain_communities,Isabella Rodriguez,2,4,0.305115,0.169884,15,15,0
t1800,1800,observed_interaction_louvain_communities,Klaus Mueller,3,4,0.333162,0.128728,15,15,0
t1800,1800,observed_interaction_louvain_communities,Latoya Williams,2,4,0.680160,0.496894,15,15,0
t1800,1800,observed_interaction_louvain_communities,Maria Lopez,2,4,0.383076,0.285714,15,15,0
t1800,1800,observed_interaction_louvain_communities,Mei Lin,4,4,0.497186,0.372822,15,15,0
t1800,1800,observed_interaction_louvain_communities,Rajiv Patel,2,4,0.680160,0.496894,15,15,0
t1800,1800,observed_interaction_louvain_communities,Ryan Park,2,4,0.168376,-0.024845,15,15,0
t1800,1800,observed_interaction_louvain_communities,Wolfgang Schulz,2,4,0.487578,0.310559,15,15,0
t1800,1800,observed_interaction_louvain_communities,__overall__,2.600000,4,0.483253,0.310340,15.000000,15,0
t2400,2400,observed_interaction_louvain_communities,Abigail Chen,2,3,0.571465,0.440771,15,15,0
t2400,2400,observed_interaction_louvain_communities,Arthur Burton,3,3,0.378798,0.235632,15,15,0
t2400,2400,observed_interaction_louvain_communities,Ayesha Khan,3,3,0.498301,0.376238,15,15,0
t2400,2400,observed_interaction_louvain_communities,Carlos Gomez,3,3,0.385586,0.235988,15,15,0
t2400,2400,observed_interaction_louvain_communities,Francisco Lopez,2,3,0.733680,0.533333,15,15,0
t2400,2400,observed_interaction_louvain_communities,Giorgio Rossi,2,3,0.216514,0.085333,15,15,0
t2400,2400,observed_interaction_louvain_communities,Hailey Johnson,3,3,0.591599,0.440000,15,15,0
t2400,2400,observed_interaction_louvain_communities,Isabella Rodriguez,3,3,0.345539,0.191419,15,15,0
t2400,2400,observed_interaction_louvain_communities,Klaus Mueller,3,3,0.187801,0.025890,15,15,0
t2400,2400,observed_interaction_louvain_communities,Latoya Williams,2,3,0.733680,0.533333,15,15,0
t2400,2400,observed_interaction_louvain_communities,Maria Lopez,2,3,0.318209,0.209366,15,15,0
t2400,2400,observed_interaction_louvain_communities,Mei Lin,4,3,0.412645,0.270833,15,15,0
t2400,2400,observed_interaction_louvain_communities,Rajiv Patel,3,3,0.482873,0.330033,15,15,0
t2400,2400,observed_interaction_louvain_communities,Ryan Park,4,3,0.215372,0.000000,15,15,0
t2400,2400,observed_interaction_louvain_communities,Wolfgang Schulz,2,3,0.349153,0.234667,15,15,0
t2400,2400,observed_interaction_louvain_communities,__overall__,2.733333,3,0.428081,0.276189,15.000000,15,0
