wave_id,step,construct,truth_layer,respondent,precision,recall,fpr,fnr,pair_accuracy,n_pairs,n_fail_safe
t600,600,micro_tie_interaction,observed_interaction,Abigail Chen,0.000000,0.000000,0.138614,1.000000,0.828571,105,0
t600,600,micro_tie_interaction,observed_interaction,Arthur Burton,0.000000,0.000000,0.138614,1.000000,0.828571,105,0
t600,600,micro_tie_interaction,observed_interaction,Ayesha Khan,0.037037,0.250000,0.257426,0.750000,0.723810,105,0
t600,600,micro_tie_interaction,observed_interaction,Carlos Gomez,0.000000,0.000000,0.158416,1.000000,0.809524,105,0
t600,600,micro_tie_interaction,observed_interaction,Francisco Lopez,0.078947,0.750000,0.346535,0.250000,0.657143,105,0
t600,600,micro_tie_interaction,observed_interaction,Giorgio Rossi,0.074074,0.500000,0.247525,0.500000,0.742857,105,0
t600,600,micro_tie_interaction,observed_interaction,Hailey Johnson,0.054054,0.500000,0.346535,0.500000,0.647619,105,0
t600,600,micro_tie_interaction,observed_interaction,Isabella Rodriguez,0.000000,0.000000,0.158416,1.000000,0.809524,105,0
t600,600,micro_tie_interaction,observed_interaction,Klaus Mueller,0.000000,0.000000,0.188119,1.000000,0.780952,105,0
t600,600,micro_tie_interaction,observed_interaction,Latoya Williams,0.000000,0.000000,0.089109,1.000000,0.876190,105,0
t600,600,micro_tie_interaction,observed_interaction,Maria Lopez,0.041667,0.250000,0.227723,0.750000,0.752381,105,0
t600,600,micro_tie_interaction,observed_interaction,Mei Lin,0.062500,0.250000,0.148515,0.750000,0.828571,105,0
t600,600,micro_tie_interaction,observed_interaction,Rajiv Patel,0.052632,0.500000,0.356436,0.500000,0.638095,105,0
t600,600,micro_tie_interaction,observed_interaction,Ryan Park,0.000000,0.000000,0.099010,1.000000,0.866667,105,0
t600,600,micro_tie_interaction,observed_interaction,Wolfgang Schulz,0.000000,0.000000,0.150000,1.000000,0.817308,104,0
t600,600,micro_tie_interaction,observed_interaction,__overall__,0.037500,0.200000,0.203435,0.800000,0.773825,1574,0
t600,600,micro_tie_social,observed_interaction,Abigail Chen,0.000000,0.000000,0.277228,1.000000,0.695238,105,0
t600,600,micro_tie_social,observed_interaction,Arthur Burton,0.000000,0.000000,0.190000,1.000000,0.786408,103,0
