wave_id,step,sim_time,respondent,question_type,target_j,target,value,is_fail_safe
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Ayesha Khan,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Giorgio Rossi,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Isabella Rodriguez,,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Maria Lopez,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Rajiv Patel,,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Abigail Chen,Wolfgang Schulz,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Ayesha Khan,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Giorgio Rossi,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Isabella Rodriguez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Arthur Burton,Wolfgang Schulz,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Giorgio Rossi,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Isabella Rodriguez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Ayesha Khan,Wolfgang Schulz,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Ayesha Khan,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Giorgio Rossi,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Isabella Rodriguez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Carlos Gomez,Wolfgang Schulz,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Ayesha Khan,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Giorgio Rossi,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Isabella Rodriguez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Francisco Lopez,Wolfgang Schulz,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Ayesha Khan,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Isabella Rodriguez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Giorgio Rossi,Wolfgang Schulz,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Ayesha Khan,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Giorgio Rossi,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Isabella Rodriguez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Hailey Johnson,Wolfgang Schulz,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Ayesha Khan,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Giorgio Rossi,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Klaus Mueller,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Isabella Rodriguez,Wolfgang Schulz,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Abigail Chen,1,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Arthur Burton,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Ayesha Khan,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Carlos Gomez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Francisco Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Giorgio Rossi,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Hailey Johnson,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Isabella Rodriguez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Latoya Williams,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Maria Lopez,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Mei Lin,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Rajiv Patel,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Ryan Park,0,0
t600,600,2026-02-13 09:40:00,Abigail Chen,micro_tie,Klaus Mueller,Wolfgang Schulz,0,0
