wave_id,step,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
t600,600,Abigail Chen,2,41,3,59,0.046512,0.400000,0.410000,0.600000,0.580952,0,105
t600,600,Arthur Burton,0,14,5,84,0.000000,0.000000,0.142857,1.000000,0.815534,14,103
t600,600,Ayesha Khan,1,27,4,73,0.035714,0.200000,0.270000,0.800000,0.704762,0,105
t600,600,Carlos Gomez,0,16,5,84,0.000000,0.000000,0.160000,1.000000,0.800000,0,105
t600,600,Francisco Lopez,2,34,3,66,0.055556,0.400000,0.340000,0.600000,0.647619,0,105
t600,600,Giorgio Rossi,0,11,5,85,0.000000,0.000000,0.114583,1.000000,0.841584,42,101
t600,600,Hailey Johnson,2,45,3,55,0.042553,0.400000,0.450000,0.600000,0.542857,0,105
t600,600,Isabella Rodriguez,2,40,3,60,0.047619,0.400000,0.400000,0.600000,0.590476,0,105
t600,600,Klaus Mueller,2,39,3,61,0.048780,0.400000,0.390000,0.600000,0.600000,0,105
t600,600,Latoya Williams,1,19,4,81,0.050000,0.200000,0.190000,0.800000,0.780952,0,105
t600,600,Maria Lopez,1,23,4,77,0.041667,0.200000,0.230000,0.800000,0.742857,14,105
t600,600,Mei Lin,2,34,3,66,0.055556,0.400000,0.340000,0.600000,0.647619,0,105
t600,600,Rajiv Patel,0,12,5,88,0.000000,0.000000,0.120000,1.000000,0.838095,0,105
t600,600,Ryan Park,0,12,5,88,0.000000,0.000000,0.120000,1.000000,0.838095,0,105
t600,600,Wolfgang Schulz,1,26,4,74,0.037037,0.200000,0.260000,0.800000,0.714286,0,105
t600,600,__overall__,16,393,59,1101,0.039120,0.213333,0.263052,0.786667,0.711918,70,1569
