wave_id,step,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
t600,600,Abigail Chen,5,47,2,51,0.096154,0.714286,0.479592,0.285714,0.533333,0,105
t600,600,Arthur Burton,0,17,7,81,0.000000,0.000000,0.173469,1.000000,0.771429,0,105
t600,600,Ayesha Khan,1,30,6,68,0.032258,0.142857,0.306122,0.857143,0.657143,0,105
t600,600,Carlos Gomez,0,19,7,79,0.000000,0.000000,0.193878,1.000000,0.752381,0,105
t600,600,Francisco Lopez,5,47,2,51,0.096154,0.714286,0.479592,0.285714,0.533333,0,105
t600,600,Giorgio Rossi,1,26,6,72,0.037037,0.142857,0.265306,0.857143,0.695238,0,105
t600,600,Hailey Johnson,5,41,2,57,0.108696,0.714286,0.418367,0.285714,0.590476,0,105
t600,600,Isabella Rodriguez,1,24,6,74,0.040000,0.142857,0.244898,0.857143,0.714286,14,105
t600,600,Klaus Mueller,1,16,6,82,0.058824,0.142857,0.163265,0.857143,0.790476,0,105
t600,600,Latoya Williams,5,44,2,54,0.102041,0.714286,0.448980,0.285714,0.561905,0,105
t600,600,Maria Lopez,2,20,5,77,0.090909,0.285714,0.206186,0.714286,0.759615,28,104
t600,600,Mei Lin,1,15,6,82,0.062500,0.142857,0.154639,0.857143,0.798077,0,104
t600,600,Rajiv Patel,5,42,2,56,0.106383,0.714286,0.428571,0.285714,0.580952,0,105
t600,600,Ryan Park,0,5,7,93,0.000000,0.000000,0.051020,1.000000,0.885714,0,105
t600,600,Wolfgang Schulz,1,26,6,72,0.037037,0.142857,0.265306,0.857143,0.695238,0,105
t600,600,__overall__,33,419,72,1049,0.073009,0.314286,0.285422,0.685714,0.687858,42,1573
t1200,1200,Abigail Chen,10,43,10,42,0.188679,0.500000,0.505882,0.500000,0.495238,0,105
t1200,1200,Arthur Burton,12,38,8,47,0.240000,0.600000,0.447059,0.400000,0.561905,0,105
t1200,1200,Ayesha Khan,5,41,15,44,0.108696,0.250000,0.482353,0.750000,0.466667,0,105
t1200,1200,Carlos Gomez,12,39,8,46,0.235294,0.600000,0.458824,0.400000,0.552381,0,105
t1200,1200,Francisco Lopez,11,35,9,50,0.239130,0.550000,0.411765,0.450000,0.580952,0,105
t1200,1200,Giorgio Rossi,8,42,12,43,0.160000,0.400000,0.494118,0.600000,0.485714,0,105
t1200,1200,Hailey Johnson,14,45,6,40,0.237288,0.700000,0.529412,0.300000,0.514286,0,105
t1200,1200,Isabella Rodriguez,5,34,15,51,0.128205,0.250000,0.400000,0.750000,0.533333,0,105
t1200,1200,Klaus Mueller,8,39,12,46,0.170213,0.400000,0.458824,0.600000,0.514286,0,105
t1200,1200,Latoya Williams,10,32,10,53,0.238095,0.500000,0.376471,0.500000,0.600000,0,105
t1200,1200,Maria Lopez,3,23,17,62,0.115385,0.150000,0.270588,0.850000,0.619048,14,105
t1200,1200,Mei Lin,6,29,14,56,0.171429,0.300000,0.341176,0.700000,0.590476,0,105
t1200,1200,Rajiv Patel,10,40,10,45,0.200000,0.500000,0.470588,0.500000,0.523810,0,105
t1200,1200,Ryan Park,13,44,7,41,0.228070,0.650000,0.517647,0.350000,0.514286,0,105
t1200,1200,Wolfgang Schulz,5,45,15,40,0.100000,0.250000,0.529412,0.750000,0.428571,0,105
t1200,1200,__overall__,132,569,168,706,0.188302,0.440000,0.446275,0.560000,0.532063,14,1575
1800,1800,Abigail Chen,11,41,14,39,0.211538,0.440000,0.512500,0.560000,0.476190,0,105
1800,1800,Arthur Burton,12,40,13,40,0.230769,0.480000,0.500000,0.520000,0.495238,0,105
1800,1800,Ayesha Khan,8,38,17,42,0.173913,0.320000,0.475000,0.680000,0.476190,0,105
1800,1800,Carlos Gomez,17,57,8,23,0.229730,0.680000,0.712500,0.320000,0.380952,0,105
1800,1800,Francisco Lopez,12,38,13,42,0.240000,0.480000,0.475000,0.520000,0.514286,0,105
1800,1800,Giorgio Rossi,13,39,12,41,0.250000,0.520000,0.487500,0.480000,0.514286,0,105
1800,1800,Hailey Johnson,18,44,7,36,0.290323,0.720000,0.550000,0.280000,0.514286,0,105
1800,1800,Isabella Rodriguez,10,35,15,45,0.222222,0.400000,0.437500,0.600000,0.523810,0,105
1800,1800,Klaus Mueller,14,54,11,26,0.205882,0.560000,0.675000,0.440000,0.380952,0,105
1800,1800,Latoya Williams,12,40,13,40,0.230769,0.480000,0.500000,0.520000,0.495238,0,105
1800,1800,Maria Lopez,2,20,22,60,0.090909,0.083333,0.250000,0.916667,0.596154,28,104
1800,1800,Mei Lin,6,30,19,50,0.166667,0.240000,0.375000,0.760000,0.533333,0,105
1800,1800,Rajiv Patel,11,40,14,40,0.215686,0.440000,0.500000,0.560000,0.485714,0,105
1800,1800,Ryan Park,13,32,12,48,0.288889,0.520000,0.400000,0.480000,0.580952,14,105
1800,1800,Wolfgang Schulz,10,43,15,37,0.188679,0.400000,0.537500,0.600000,0.447619,0,105
1800,1800,__overall__,169,591,205,609,0.222368,0.451872,0.492500,0.548128,0.494282,42,1574
debug_test,1800,Abigail Chen,11,43,14,37,0.203704,0.440000,0.537500,0.560000,0.457143,0,105
debug_test,1800,Arthur Burton,12,38,13,42,0.240000,0.480000,0.475000,0.520000,0.514286,0,105
debug_test,1800,Ayesha Khan,9,40,16,40,0.183673,0.360000,0.500000,0.640000,0.466667,0,105
debug_test,1800,Carlos Gomez,19,56,6,24,0.253333,0.760000,0.700000,0.240000,0.409524,0,105
debug_test,1800,Francisco Lopez,10,38,15,42,0.208333,0.400000,0.475000,0.600000,0.495238,0,105
debug_test,1800,Giorgio Rossi,13,40,12,40,0.245283,0.520000,0.500000,0.480000,0.504762,0,105
