wave_id,step,truth_layer,truth_file,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Abigail Chen,26,104,20,150,0.200000,0.565217,0.409449,0.434783,0.586667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Adam Smith,32,193,14,61,0.142222,0.695652,0.759843,0.304348,0.310000,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Arthur Burton,35,168,11,86,0.172414,0.760870,0.661417,0.239130,0.403333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Ayesha Khan,30,132,16,122,0.185185,0.652174,0.519685,0.347826,0.506667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Carlos Gomez,31,128,15,126,0.194969,0.673913,0.503937,0.326087,0.523333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Carmen Ortiz,8,39,38,215,0.170213,0.173913,0.153543,0.826087,0.743333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Eddy Lin,31,160,15,94,0.162304,0.673913,0.629921,0.326087,0.416667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Francisco Lopez,26,117,20,137,0.181818,0.565217,0.460630,0.434783,0.543333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Giorgio Rossi,26,144,20,110,0.152941,0.565217,0.566929,0.434783,0.453333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Hailey Johnson,3,29,43,225,0.093750,0.065217,0.114173,0.934783,0.760000,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Isabella Rodriguez,35,199,11,55,0.149573,0.760870,0.783465,0.239130,0.300000,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Jane Moreno,28,151,18,103,0.156425,0.608696,0.594488,0.391304,0.436667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Jennifer Moore,33,138,13,116,0.192982,0.717391,0.543307,0.282609,0.496667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,John Lin,38,205,8,49,0.156379,0.826087,0.807087,0.173913,0.290000,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Klaus Mueller,16,55,30,199,0.225352,0.347826,0.216535,0.652174,0.716667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Latoya Williams,21,109,25,145,0.161538,0.456522,0.429134,0.543478,0.553333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Maria Lopez,6,21,40,233,0.222222,0.130435,0.082677,0.869565,0.796667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Mei Lin,29,141,17,113,0.170588,0.630435,0.555118,0.369565,0.473333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Rajiv Patel,17,87,29,167,0.163462,0.369565,0.342520,0.630435,0.613333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Ryan Park,26,159,20,95,0.140541,0.565217,0.625984,0.434783,0.403333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Sam Moore,25,111,21,143,0.183824,0.543478,0.437008,0.456522,0.560000,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Tamara Taylor,1,24,45,230,0.040000,0.021739,0.094488,0.978261,0.770000,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Tom Moreno,33,190,13,64,0.147982,0.717391,0.748031,0.282609,0.323333,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Wolfgang Schulz,5,20,41,234,0.200000,0.108696,0.078740,0.891304,0.796667,24,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,Yuriko Yamamoto,2,29,44,225,0.064516,0.043478,0.114173,0.956522,0.756667,0,300
pre,1800,observed_interaction,ground_truth/ground_truth_edges_1800.csv,__overall__,563,2853,587,3497,0.164813,0.489565,0.449291,0.510435,0.541333,24,7500
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Abigail Chen,26,104,20,150,0.200000,0.565217,0.409449,0.434783,0.586667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Adam Smith,32,193,14,61,0.142222,0.695652,0.759843,0.304348,0.310000,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Arthur Burton,35,168,11,86,0.172414,0.760870,0.661417,0.239130,0.403333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Ayesha Khan,30,132,16,122,0.185185,0.652174,0.519685,0.347826,0.506667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Carlos Gomez,31,128,15,126,0.194969,0.673913,0.503937,0.326087,0.523333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Carmen Ortiz,8,39,38,215,0.170213,0.173913,0.153543,0.826087,0.743333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Eddy Lin,31,160,15,94,0.162304,0.673913,0.629921,0.326087,0.416667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Francisco Lopez,26,117,20,137,0.181818,0.565217,0.460630,0.434783,0.543333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Giorgio Rossi,26,144,20,110,0.152941,0.565217,0.566929,0.434783,0.453333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Hailey Johnson,3,29,43,225,0.093750,0.065217,0.114173,0.934783,0.760000,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Isabella Rodriguez,35,199,11,55,0.149573,0.760870,0.783465,0.239130,0.300000,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Jane Moreno,28,151,18,103,0.156425,0.608696,0.594488,0.391304,0.436667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Jennifer Moore,33,138,13,116,0.192982,0.717391,0.543307,0.282609,0.496667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,John Lin,38,205,8,49,0.156379,0.826087,0.807087,0.173913,0.290000,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Klaus Mueller,16,55,30,199,0.225352,0.347826,0.216535,0.652174,0.716667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Latoya Williams,21,109,25,145,0.161538,0.456522,0.429134,0.543478,0.553333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Maria Lopez,6,21,40,233,0.222222,0.130435,0.082677,0.869565,0.796667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Mei Lin,29,141,17,113,0.170588,0.630435,0.555118,0.369565,0.473333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Rajiv Patel,17,87,29,167,0.163462,0.369565,0.342520,0.630435,0.613333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Ryan Park,26,159,20,95,0.140541,0.565217,0.625984,0.434783,0.403333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Sam Moore,25,111,21,143,0.183824,0.543478,0.437008,0.456522,0.560000,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Tamara Taylor,1,24,45,230,0.040000,0.021739,0.094488,0.978261,0.770000,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Tom Moreno,33,190,13,64,0.147982,0.717391,0.748031,0.282609,0.323333,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Wolfgang Schulz,5,20,41,234,0.200000,0.108696,0.078740,0.891304,0.796667,24,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,Yuriko Yamamoto,2,29,44,225,0.064516,0.043478,0.114173,0.956522,0.756667,0,300
pre,1800,observed_interaction_recent,ground_truth/ground_truth_edges_1800.csv,__overall__,563,2853,587,3497,0.164813,0.489565,0.449291,0.510435,0.541333,24,7500
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Abigail Chen,33,97,53,117,0.253846,0.383721,0.453271,0.616279,0.500000,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Adam Smith,66,159,20,55,0.293333,0.767442,0.742991,0.232558,0.403333,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Arthur Burton,55,148,31,66,0.270936,0.639535,0.691589,0.360465,0.403333,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Ayesha Khan,40,122,46,92,0.246914,0.465116,0.570093,0.534884,0.440000,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Carlos Gomez,45,114,41,100,0.283019,0.523256,0.532710,0.476744,0.483333,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Carmen Ortiz,20,27,66,187,0.425532,0.232558,0.126168,0.767442,0.690000,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Eddy Lin,51,140,35,74,0.267016,0.593023,0.654206,0.406977,0.416667,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Francisco Lopez,41,102,45,112,0.286713,0.476744,0.476636,0.523256,0.510000,0,300
pre,1800,background_social_tie,ground_truth/background_social_edges.csv,Giorgio Rossi,44,126,42,88,0.258824,0.511628,0.588785,0.488372,0.440000,0,300
