wave_id,step,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
pre,1800,Abigail Chen,26,104,20,150,0.200000,0.565217,0.409449,0.434783,0.586667,0,300
pre,1800,Adam Smith,32,193,14,61,0.142222,0.695652,0.759843,0.304348,0.310000,0,300
pre,1800,Arthur Burton,35,168,11,86,0.172414,0.760870,0.661417,0.239130,0.403333,0,300
pre,1800,Ayesha Khan,30,132,16,122,0.185185,0.652174,0.519685,0.347826,0.506667,0,300
pre,1800,Carlos Gomez,31,128,15,126,0.194969,0.673913,0.503937,0.326087,0.523333,0,300
pre,1800,Carmen Ortiz,8,39,38,215,0.170213,0.173913,0.153543,0.826087,0.743333,0,300
pre,1800,Eddy Lin,31,160,15,94,0.162304,0.673913,0.629921,0.326087,0.416667,0,300
pre,1800,Francisco Lopez,26,117,20,137,0.181818,0.565217,0.460630,0.434783,0.543333,0,300
pre,1800,Giorgio Rossi,26,144,20,110,0.152941,0.565217,0.566929,0.434783,0.453333,0,300
pre,1800,Hailey Johnson,3,29,43,225,0.093750,0.065217,0.114173,0.934783,0.760000,0,300
pre,1800,Isabella Rodriguez,35,199,11,55,0.149573,0.760870,0.783465,0.239130,0.300000,0,300
pre,1800,Jane Moreno,28,151,18,103,0.156425,0.608696,0.594488,0.391304,0.436667,0,300
pre,1800,Jennifer Moore,33,138,13,116,0.192982,0.717391,0.543307,0.282609,0.496667,0,300
pre,1800,John Lin,38,205,8,49,0.156379,0.826087,0.807087,0.173913,0.290000,0,300
pre,1800,Klaus Mueller,16,55,30,199,0.225352,0.347826,0.216535,0.652174,0.716667,0,300
pre,1800,Latoya Williams,21,109,25,145,0.161538,0.456522,0.429134,0.543478,0.553333,0,300
pre,1800,Maria Lopez,6,21,40,233,0.222222,0.130435,0.082677,0.869565,0.796667,0,300
pre,1800,Mei Lin,29,141,17,113,0.170588,0.630435,0.555118,0.369565,0.473333,0,300
pre,1800,Rajiv Patel,17,87,29,167,0.163462,0.369565,0.342520,0.630435,0.613333,0,300
pre,1800,Ryan Park,26,159,20,95,0.140541,0.565217,0.625984,0.434783,0.403333,0,300
pre,1800,Sam Moore,25,111,21,143,0.183824,0.543478,0.437008,0.456522,0.560000,0,300
pre,1800,Tamara Taylor,1,24,45,230,0.040000,0.021739,0.094488,0.978261,0.770000,0,300
pre,1800,Tom Moreno,33,190,13,64,0.147982,0.717391,0.748031,0.282609,0.323333,0,300
pre,1800,Wolfgang Schulz,5,20,41,234,0.200000,0.108696,0.078740,0.891304,0.796667,24,300
pre,1800,Yuriko Yamamoto,2,29,44,225,0.064516,0.043478,0.114173,0.956522,0.756667,0,300
pre,1800,__overall__,563,2853,587,3497,0.164813,0.489565,0.449291,0.510435,0.541333,24,7500
post,1950,Abigail Chen,29,114,21,136,0.202797,0.580000,0.456000,0.420000,0.550000,0,300
post,1950,Adam Smith,30,171,20,79,0.149254,0.600000,0.684000,0.400000,0.363333,0,300
post,1950,Arthur Burton,36,153,14,97,0.190476,0.720000,0.612000,0.280000,0.443333,0,300
post,1950,Ayesha Khan,31,123,19,127,0.201299,0.620000,0.492000,0.380000,0.526667,0,300
post,1950,Carlos Gomez,32,135,18,115,0.191617,0.640000,0.540000,0.360000,0.490000,0,300
post,1950,Carmen Ortiz,11,57,39,193,0.161765,0.220000,0.228000,0.780000,0.680000,0,300
post,1950,Eddy Lin,38,165,12,85,0.187192,0.760000,0.660000,0.240000,0.410000,0,300
post,1950,Francisco Lopez,31,117,19,133,0.209459,0.620000,0.468000,0.380000,0.546667,0,300
post,1950,Giorgio Rossi,30,136,20,114,0.180723,0.600000,0.544000,0.400000,0.480000,0,300
post,1950,Hailey Johnson,20,106,30,144,0.158730,0.400000,0.424000,0.600000,0.546667,0,300
post,1950,Isabella Rodriguez,37,180,13,70,0.170507,0.740000,0.720000,0.260000,0.356667,0,300
post,1950,Jane Moreno,33,155,17,95,0.175532,0.660000,0.620000,0.340000,0.426667,0,300
post,1950,Jennifer Moore,33,131,16,119,0.201220,0.673469,0.524000,0.326531,0.508361,0,299
post,1950,John Lin,43,213,7,37,0.167969,0.860000,0.852000,0.140000,0.266667,24,300
post,1950,Klaus Mueller,26,82,24,168,0.240741,0.520000,0.328000,0.480000,0.646667,0,300
post,1950,Latoya Williams,23,95,27,155,0.194915,0.460000,0.380000,0.540000,0.593333,24,300
post,1950,Maria Lopez,8,21,42,229,0.275862,0.160000,0.084000,0.840000,0.790000,0,300
post,1950,Mei Lin,32,130,18,120,0.197531,0.640000,0.520000,0.360000,0.506667,0,300
post,1950,Rajiv Patel,20,89,30,161,0.183486,0.400000,0.356000,0.600000,0.603333,0,300
post,1950,Ryan Park,29,170,21,80,0.145729,0.580000,0.680000,0.420000,0.363333,0,300
post,1950,Sam Moore,31,116,19,134,0.210884,0.620000,0.464000,0.380000,0.550000,24,300
post,1950,Tamara Taylor,3,23,47,227,0.115385,0.060000,0.092000,0.940000,0.766667,0,300
post,1950,Tom Moreno,37,178,13,72,0.172093,0.740000,0.712000,0.260000,0.363333,0,300
post,1950,Wolfgang Schulz,1,20,49,230,0.047619,0.020000,0.080000,0.980000,0.770000,0,300
post,1950,Yuriko Yamamoto,1,29,49,221,0.033333,0.020000,0.116000,0.980000,0.740000,0,300
post,1950,__overall__,645,2909,604,3341,0.181486,0.516413,0.465440,0.483587,0.531538,72,7499
