wave_id,step,sim_time,respondent,question_type,target_j,target,value,is_fail_safe
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Adam Smith,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Arthur Burton,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Ayesha Khan,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Carlos Gomez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Carmen Ortiz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Eddy Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Francisco Lopez,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Giorgio Rossi,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Hailey Johnson,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Isabella Rodriguez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Jane Moreno,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Jennifer Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,John Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Klaus Mueller,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Latoya Williams,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Maria Lopez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Mei Lin,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Rajiv Patel,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Ryan Park,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Sam Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Tamara Taylor,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Tom Moreno,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Wolfgang Schulz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Abigail Chen,Yuriko Yamamoto,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Abigail Chen,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Arthur Burton,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Ayesha Khan,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Carlos Gomez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Carmen Ortiz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Eddy Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Francisco Lopez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Giorgio Rossi,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Hailey Johnson,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Isabella Rodriguez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Jane Moreno,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Jennifer Moore,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,John Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Klaus Mueller,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Latoya Williams,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Maria Lopez,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Mei Lin,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Rajiv Patel,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Ryan Park,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Sam Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Tamara Taylor,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Tom Moreno,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Wolfgang Schulz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Adam Smith,Yuriko Yamamoto,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Abigail Chen,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Adam Smith,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Ayesha Khan,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Carlos Gomez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Carmen Ortiz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Eddy Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Francisco Lopez,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Giorgio Rossi,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Hailey Johnson,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Isabella Rodriguez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Jane Moreno,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Jennifer Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,John Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Klaus Mueller,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Latoya Williams,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Maria Lopez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Mei Lin,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Rajiv Patel,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Ryan Park,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Sam Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Tamara Taylor,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Tom Moreno,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Wolfgang Schulz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Arthur Burton,Yuriko Yamamoto,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Abigail Chen,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Adam Smith,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Arthur Burton,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Carlos Gomez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Carmen Ortiz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Eddy Lin,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Francisco Lopez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Giorgio Rossi,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Hailey Johnson,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Isabella Rodriguez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Jane Moreno,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Jennifer Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,John Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Klaus Mueller,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Latoya Williams,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Maria Lopez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Mei Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Rajiv Patel,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Ryan Park,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Sam Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Tamara Taylor,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Tom Moreno,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Wolfgang Schulz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Ayesha Khan,Yuriko Yamamoto,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Abigail Chen,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Adam Smith,,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Arthur Burton,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Ayesha Khan,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Carmen Ortiz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Eddy Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Francisco Lopez,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Giorgio Rossi,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Hailey Johnson,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Isabella Rodriguez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Jane Moreno,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Jennifer Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,John Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Klaus Mueller,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Latoya Williams,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Maria Lopez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Mei Lin,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Rajiv Patel,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Ryan Park,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Sam Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Tamara Taylor,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Tom Moreno,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Wolfgang Schulz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carlos Gomez,Yuriko Yamamoto,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Abigail Chen,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Adam Smith,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Arthur Burton,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Ayesha Khan,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Carlos Gomez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Eddy Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Francisco Lopez,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Giorgio Rossi,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Hailey Johnson,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Isabella Rodriguez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Jane Moreno,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Jennifer Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,John Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Klaus Mueller,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Latoya Williams,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Maria Lopez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Mei Lin,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Rajiv Patel,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Ryan Park,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Sam Moore,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Tamara Taylor,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Tom Moreno,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Wolfgang Schulz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Carmen Ortiz,Yuriko Yamamoto,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Eddy Lin,Abigail Chen,1,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Eddy Lin,Adam Smith,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Eddy Lin,Arthur Burton,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Eddy Lin,Ayesha Khan,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Eddy Lin,Carlos Gomez,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Eddy Lin,Carmen Ortiz,0,0
post,3000,2023-02-13 16:20:00,Abigail Chen,micro_tie,Eddy Lin,Francisco Lopez,1,0
