wave_id,step,sim_time,node_a,node_b,tie_cumulative,tie_recent,count_cumulative,count_recent
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Adam Smith,1,0,7,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Arthur Burton,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Ayesha Khan,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Carlos Gomez,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Carmen Ortiz,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Eddy Lin,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Francisco Lopez,1,1,3,2
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Giorgio Rossi,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Hailey Johnson,1,1,3,3
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Isabella Rodriguez,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Jane Moreno,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Jennifer Moore,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,John Lin,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Klaus Mueller,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Latoya Williams,1,1,4,3
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Maria Lopez,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Mei Lin,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Rajiv Patel,1,1,1,1
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Ryan Park,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Sam Moore,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Tamara Taylor,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Tom Moreno,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Wolfgang Schulz,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Abigail Chen,Yuriko Yamamoto,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Arthur Burton,1,1,7,4
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Ayesha Khan,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Carlos Gomez,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Carmen Ortiz,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Eddy Lin,1,1,5,5
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Francisco Lopez,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Giorgio Rossi,1,1,4,4
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Hailey Johnson,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Isabella Rodriguez,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Jane Moreno,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Jennifer Moore,1,1,4,4
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,John Lin,1,0,3,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Klaus Mueller,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Latoya Williams,1,0,1,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Maria Lopez,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Mei Lin,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Rajiv Patel,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Ryan Park,1,1,1,1
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Sam Moore,1,1,1,1
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Tamara Taylor,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Tom Moreno,1,0,4,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Wolfgang Schulz,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Adam Smith,Yuriko Yamamoto,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Arthur Burton,Ayesha Khan,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Arthur Burton,Carlos Gomez,1,0,4,0
checkpoint,2700,2023-02-13 15:30:00,Arthur Burton,Carmen Ortiz,0,0,0,0
checkpoint,2700,2023-02-13 15:30:00,Arthur Burton,Eddy Lin,1,1,7,7
checkpoint,2700,2023-02-13 15:30:00,Arthur Burton,Francisco Lopez,0,0,0,0
