wave_id,step,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
pre,1800,Abigail Chen,26,104,20,150,0.200000,0.565217,0.409449,0.434783,0.586667,0,300
pre,1800,Adam Smith,32,193,14,61,0.142222,0.695652,0.759843,0.304348,0.310000,0,300
pre,1800,Arthur Burton,35,168,11,86,0.172414,0.760870,0.661417,0.239130,0.403333,0,300
pre,1800,Ayesha Khan,30,132,16,122,0.185185,0.652174,0.519685,0.347826,0.506667,0,300
pre,1800,Carlos Gomez,31,128,15,126,0.194969,0.673913,0.503937,0.326087,0.523333,0,300
pre,1800,Carmen Ortiz,8,39,38,215,0.170213,0.173913,0.153543,0.826087,0.743333,0,300
pre,1800,Eddy Lin,31,160,15,94,0.162304,0.673913,0.629921,0.326087,0.416667,0,300
pre,1800,Francisco Lopez,26,117,20,137,0.181818,0.565217,0.460630,0.434783,0.543333,0,300
pre,1800,Giorgio Rossi,26,144,20,110,0.152941,0.565217,0.566929,0.434783,0.453333,0,300
pre,1800,Hailey Johnson,3,29,43,225,0.093750,0.065217,0.114173,0.934783,0.760000,0,300
pre,1800,Isabella Rodriguez,35,199,11,55,0.149573,0.760870,0.783465,0.239130,0.300000,0,300
pre,1800,Jane Moreno,28,151,18,103,0.156425,0.608696,0.594488,0.391304,0.436667,0,300
pre,1800,Jennifer Moore,33,138,13,116,0.192982,0.717391,0.543307,0.282609,0.496667,0,300
pre,1800,John Lin,38,205,8,49,0.156379,0.826087,0.807087,0.173913,0.290000,0,300
pre,1800,Klaus Mueller,16,55,30,199,0.225352,0.347826,0.216535,0.652174,0.716667,0,300
pre,1800,Latoya Williams,21,109,25,145,0.161538,0.456522,0.429134,0.543478,0.553333,0,300
pre,1800,Maria Lopez,6,21,40,233,0.222222,0.130435,0.082677,0.869565,0.796667,0,300
pre,1800,Mei Lin,29,141,17,113,0.170588,0.630435,0.555118,0.369565,0.473333,0,300
pre,1800,Rajiv Patel,17,87,29,167,0.163462,0.369565,0.342520,0.630435,0.613333,0,300
pre,1800,Ryan Park,26,159,20,95,0.140541,0.565217,0.625984,0.434783,0.403333,0,300
pre,1800,Sam Moore,25,111,21,143,0.183824,0.543478,0.437008,0.456522,0.560000,0,300
pre,1800,Tamara Taylor,1,24,45,230,0.040000,0.021739,0.094488,0.978261,0.770000,0,300
pre,1800,Tom Moreno,33,190,13,64,0.147982,0.717391,0.748031,0.282609,0.323333,0,300
pre,1800,Wolfgang Schulz,5,20,41,234,0.200000,0.108696,0.078740,0.891304,0.796667,24,300
pre,1800,Yuriko Yamamoto,2,29,44,225,0.064516,0.043478,0.114173,0.956522,0.756667,0,300
pre,1800,__overall__,563,2853,587,3497,0.164813,0.489565,0.449291,0.510435,0.541333,24,7500
post,3300,Abigail Chen,51,108,30,111,0.320755,0.629630,0.493151,0.370370,0.540000,24,300
post,3300,Adam Smith,61,142,20,77,0.300493,0.753086,0.648402,0.246914,0.460000,0,300
post,3300,Arthur Burton,64,135,17,84,0.321608,0.790123,0.616438,0.209877,0.493333,0,300
post,3300,Ayesha Khan,47,133,34,86,0.261111,0.580247,0.607306,0.419753,0.443333,0,300
post,3300,Carlos Gomez,52,115,29,104,0.311377,0.641975,0.525114,0.358025,0.520000,0,300
post,3300,Carmen Ortiz,23,97,58,122,0.191667,0.283951,0.442922,0.716049,0.483333,0,300
post,3300,Eddy Lin,52,129,29,90,0.287293,0.641975,0.589041,0.358025,0.473333,0,300
post,3300,Francisco Lopez,51,108,30,111,0.320755,0.629630,0.493151,0.370370,0.540000,0,300
post,3300,Giorgio Rossi,58,135,23,84,0.300518,0.716049,0.616438,0.283951,0.473333,0,300
post,3300,Hailey Johnson,46,110,35,109,0.294872,0.567901,0.502283,0.432099,0.516667,0,300
post,3300,Isabella Rodriguez,56,144,25,75,0.280000,0.691358,0.657534,0.308642,0.436667,0,300
post,3300,Jane Moreno,59,186,22,33,0.240816,0.728395,0.849315,0.271605,0.306667,0,300
post,3300,Jennifer Moore,61,118,20,101,0.340782,0.753086,0.538813,0.246914,0.540000,0,300
post,3300,John Lin,66,186,15,32,0.261905,0.814815,0.853211,0.185185,0.327759,48,299
post,3300,Klaus Mueller,63,141,18,78,0.308824,0.777778,0.643836,0.222222,0.470000,0,300
post,3300,Latoya Williams,43,99,38,120,0.302817,0.530864,0.452055,0.469136,0.543333,0,300
post,3300,Maria Lopez,9,17,72,202,0.346154,0.111111,0.077626,0.888889,0.703333,0,300
post,3300,Mei Lin,57,159,24,60,0.263889,0.703704,0.726027,0.296296,0.390000,0,300
post,3300,Rajiv Patel,44,87,37,132,0.335878,0.543210,0.397260,0.456790,0.586667,0,300
post,3300,Ryan Park,49,129,32,90,0.275281,0.604938,0.589041,0.395062,0.463333,0,300
post,3300,Sam Moore,58,136,23,83,0.298969,0.716049,0.621005,0.283951,0.470000,0,300
post,3300,Tamara Taylor,4,20,77,199,0.166667,0.049383,0.091324,0.950617,0.676667,0,300
post,3300,Tom Moreno,61,150,20,69,0.289100,0.753086,0.684932,0.246914,0.433333,0,300
post,3300,Wolfgang Schulz,1,4,80,215,0.200000,0.012346,0.018265,0.987654,0.720000,0,300
post,3300,Yuriko Yamamoto,23,85,58,134,0.212963,0.283951,0.388128,0.716049,0.523333,0,300
post,3300,__overall__,1159,2873,866,2601,0.287450,0.572346,0.524845,0.427654,0.501400,72,7499
