wave_id,step,truth_layer,truth_file,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Abigail Chen,5,47,2,51,0.096154,0.714286,0.479592,0.285714,0.533333,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Arthur Burton,0,17,7,81,0.000000,0.000000,0.173469,1.000000,0.771429,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Ayesha Khan,1,30,6,68,0.032258,0.142857,0.306122,0.857143,0.657143,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Carlos Gomez,0,19,7,79,0.000000,0.000000,0.193878,1.000000,0.752381,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Francisco Lopez,5,47,2,51,0.096154,0.714286,0.479592,0.285714,0.533333,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Giorgio Rossi,1,26,6,72,0.037037,0.142857,0.265306,0.857143,0.695238,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Hailey Johnson,5,41,2,57,0.108696,0.714286,0.418367,0.285714,0.590476,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Isabella Rodriguez,1,24,6,74,0.040000,0.142857,0.244898,0.857143,0.714286,14,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Klaus Mueller,1,16,6,82,0.058824,0.142857,0.163265,0.857143,0.790476,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Latoya Williams,5,44,2,54,0.102041,0.714286,0.448980,0.285714,0.561905,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Maria Lopez,2,20,5,77,0.090909,0.285714,0.206186,0.714286,0.759615,28,104
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Mei Lin,1,15,6,82,0.062500,0.142857,0.154639,0.857143,0.798077,0,104
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Rajiv Patel,5,42,2,56,0.106383,0.714286,0.428571,0.285714,0.580952,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Ryan Park,0,5,7,93,0.000000,0.000000,0.051020,1.000000,0.885714,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,Wolfgang Schulz,1,26,6,72,0.037037,0.142857,0.265306,0.857143,0.695238,0,105
t600,600,observed_interaction,ground_truth/ground_truth_edges_600.csv,__overall__,33,419,72,1049,0.073009,0.314286,0.285422,0.685714,0.687858,42,1573
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Abigail Chen,13,39,21,32,0.250000,0.382353,0.549296,0.617647,0.428571,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Arthur Burton,6,11,28,60,0.352941,0.176471,0.154930,0.823529,0.628571,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Ayesha Khan,8,23,26,48,0.258065,0.235294,0.323944,0.764706,0.533333,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Carlos Gomez,6,13,28,58,0.315789,0.176471,0.183099,0.823529,0.609524,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Francisco Lopez,14,38,20,33,0.269231,0.411765,0.535211,0.588235,0.447619,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Giorgio Rossi,9,18,25,53,0.333333,0.264706,0.253521,0.735294,0.590476,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Hailey Johnson,12,34,22,37,0.260870,0.352941,0.478873,0.647059,0.466667,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Isabella Rodriguez,8,17,26,54,0.320000,0.235294,0.239437,0.764706,0.590476,14,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Klaus Mueller,6,11,28,60,0.352941,0.176471,0.154930,0.823529,0.628571,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Latoya Williams,14,35,20,36,0.285714,0.411765,0.492958,0.588235,0.476190,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Maria Lopez,5,17,29,53,0.227273,0.147059,0.242857,0.852941,0.557692,28,104
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Mei Lin,5,11,29,59,0.312500,0.147059,0.157143,0.852941,0.615385,0,104
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Rajiv Patel,13,34,21,37,0.276596,0.382353,0.478873,0.617647,0.476190,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Ryan Park,0,5,34,66,0.000000,0.000000,0.070423,1.000000,0.628571,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,Wolfgang Schulz,8,19,26,52,0.296296,0.235294,0.267606,0.764706,0.571429,0,105
t600,600,background_social_tie,ground_truth/background_social_edges.csv,__overall__,127,325,383,738,0.280973,0.249020,0.305738,0.750980,0.549905,42,1573
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Abigail Chen,13,39,21,32,0.250000,0.382353,0.549296,0.617647,0.428571,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Arthur Burton,6,11,28,60,0.352941,0.176471,0.154930,0.823529,0.628571,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Ayesha Khan,8,23,26,48,0.258065,0.235294,0.323944,0.764706,0.533333,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Carlos Gomez,6,13,28,58,0.315789,0.176471,0.183099,0.823529,0.609524,0,105
