wave_id,step,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
t600,600,Abigail Chen,0,14,3,86,0.000000,0.000000,0.140000,1.000000,0.834951,28,103
t600,600,Arthur Burton,0,12,3,87,0.000000,0.000000,0.121212,1.000000,0.852941,42,102
t600,600,Ayesha Khan,1,27,2,75,0.035714,0.333333,0.264706,0.666667,0.723810,0,105
t600,600,Carlos Gomez,0,12,2,83,0.000000,0.000000,0.126316,1.000000,0.855670,56,97
t600,600,Francisco Lopez,1,29,2,73,0.033333,0.333333,0.284314,0.666667,0.704762,0,105
t600,600,Giorgio Rossi,1,26,2,76,0.037037,0.333333,0.254902,0.666667,0.733333,0,105
t600,600,Hailey Johnson,0,12,3,87,0.000000,0.000000,0.121212,1.000000,0.852941,42,102
t600,600,Isabella Rodriguez,1,27,2,75,0.035714,0.333333,0.264706,0.666667,0.723810,0,105
t600,600,Klaus Mueller,1,36,2,66,0.027027,0.333333,0.352941,0.666667,0.638095,14,105
t600,600,Latoya Williams,0,13,2,79,0.000000,0.000000,0.141304,1.000000,0.840426,56,94
t600,600,Maria Lopez,1,23,2,79,0.041667,0.333333,0.225490,0.666667,0.761905,14,105
t600,600,Mei Lin,0,6,3,96,0.000000,0.000000,0.058824,1.000000,0.914286,14,105
t600,600,Rajiv Patel,1,25,2,77,0.038462,0.333333,0.245098,0.666667,0.742857,0,105
t600,600,Ryan Park,0,17,3,79,0.000000,0.000000,0.177083,1.000000,0.797980,28,99
t600,600,Wolfgang Schulz,0,18,3,84,0.000000,0.000000,0.176471,1.000000,0.800000,0,105
t600,600,OVERALL,7,297,36,1202,0.023026,0.162791,0.198132,0.837209,0.784047,294,1542
